,rate,DateTime,KWH,meters
0,Std,2011-11-23 09:00:00.0000000,0.355,1
1,Std,2011-11-23 09:30:00.0000000,0.414,1
2,Std,2011-11-23 10:00:00.0000000,0.698,4
3,Std,2011-11-23 10:30:00.0000000,0.455,4
4,Std,2011-11-23 11:00:00.0000000,0.67,5
5,Std,2011-11-23 11:30:00.0000000,1.048,5
6,Std,2011-11-23 12:00:00.0000000,3.1630000999999996,7
7,Std,2011-11-23 12:30:00.0000000,2.7759999,8
8,Std,2011-11-23 13:00:00.0000000,2.8800000999999997,10
9,Std,2011-11-23 13:30:00.0000000,2.784,11
10,Std,2011-11-23 14:00:00.0000000,3.291,11
11,Std,2011-11-23 14:30:00.0000000,2.437,11
12,Std,2011-11-23 15:00:00.0000000,2.464,11
13,Std,2011-11-23 15:30:00.0000000,1.8730000000000002,11
14,Std,2011-11-23 16:00:00.0000000,1.69,11
15,Std,2011-11-23 16:30:00.0000000,2.682,11
16,Std,2011-11-23 17:00:00.0000000,2.823,11
17,Std,2011-11-23 17:30:00.0000000,2.783,11
18,Std,2011-11-23 18:00:00.0000000,3.096,11
19,Std,2011-11-23 18:30:00.0000000,3.156,11
20,Std,2011-11-23 19:00:00.0000000,3.771,11
21,Std,2011-11-23 19:30:00.0000000,5.021,11
22,Std,2011-11-23 20:00:00.0000000,5.418,11
23,Std,2011-11-23 20:30:00.0000000,5.1970000999999995,11
24,Std,2011-11-23 21:00:00.0000000,4.2699999,11
25,Std,2011-11-23 21:30:00.0000000,3.86,11
26,Std,2011-11-23 22:00:00.0000000,4.396,11
27,Std,2011-11-23 22:30:00.0000000,2.851,11
28,Std,2011-11-23 23:00:00.0000000,2.925,11
29,Std,2011-11-23 23:30:00.0000000,2.483,11
30,Std,2011-11-24 00:00:00.0000000,2.2560000000000002,11
31,Std,2011-11-24 00:30:00.0000000,3.9969998999999996,11
32,Std,2011-11-24 01:00:00.0000000,3.295,11
33,Std,2011-11-24 01:30:00.0000000,3.328,11
34,Std,2011-11-24 02:00:00.0000000,2.318,11
35,Std,2011-11-24 02:30:00.0000000,1.654,11
36,Std,2011-11-24 03:00:00.0000000,1.745,11
37,Std,2011-11-24 03:30:00.0000000,1.678,11
38,Std,2011-11-24 04:00:00.0000000,1.603,11
39,Std,2011-11-24 04:30:00.0000000,1.444,11
40,Std,2011-11-24 05:00:00.0000000,1.282,11
41,Std,2011-11-24 05:30:00.0000000,1.35,11
42,Std,2011-11-24 06:00:00.0000000,1.509,11
43,Std,2011-11-24 06:30:00.0000000,1.694,11
44,Std,2011-11-24 07:00:00.0000000,1.916,11
45,Std,2011-11-24 07:30:00.0000000,1.95,11
46,Std,2011-11-24 08:00:00.0000000,1.869,11
47,Std,2011-11-24 08:30:00.0000000,1.8679999999999999,11
48,Std,2011-11-24 09:00:00.0000000,1.575,11
49,Std,2011-11-24 09:30:00.0000000,2.021,11
50,Std,2011-11-24 10:00:00.0000000,3.045,13
51,Std,2011-11-24 10:30:00.0000000,3.078,14
52,Std,2011-11-24 11:00:00.0000000,2.83,15
53,Std,2011-11-24 11:30:00.0000000,2.765,15
54,Std,2011-11-24 12:00:00.0000000,3.977,17
55,Std,2011-11-24 12:30:00.0000000,3.5060000000000002,18
56,Std,2011-11-24 13:00:00.0000000,4.071,19
57,Std,2011-11-24 13:30:00.0000000,4.662,21
58,Std,2011-11-24 14:00:00.0000000,4.294,21
59,Std,2011-11-24 14:30:00.0000000,4.4,21
60,Std,2011-11-24 15:00:00.0000000,4.671,21
61,Std,2011-11-24 15:30:00.0000000,4.625,21
